,player_id,session,elo
1,5,S1D1,1016
2,5,S1D2,1032
3,5,S1D3,1032
4,5,S1D4,1044.8
5,5,S1D5,1054.4
6,5,S1D6,1048
7,5,S1D7,1073.6
8,5,S1D8,1131.2
9,5,S1D9,1179.2
10,5,S1D10,1185.6
11,5,S1D11,1214.4
12,5,S2D1,1217.6
13,5,S2D2,1185.6
14,5,S2D3,1140.8
15,5,S2D4,1128
16,5,S2D5,1080
17,5,S2D6,1092.8
18,5,S2D7,1057.6
19,5,S2D8,1118.4
20,5,S2D9,1118.4
21,5,S2D10,1124.8
22,5,S2D11,1166.4
23,5,S2D12,1166.4
24,5,S3D1,1140.8
25,5,S3D2,1179.2
26,5,S3D3,1176
27,5,S3D4,1118.4
28,5,S3D5,1134.4
29,5,S3D6,1099.2
30,5,S3D7,1121.6
31,5,S3D8,1073.6
32,5,S3D9,1102.4
33,5,S3D10,1089.6
34,5,S3D11,1067.2
35,5,S3D12,1057.6
36,5,S4D1,1067.2
37,5,S4D2,1067.2
38,5,S4D3,1057.6
39,5,S4D4,1051.2
40,5,S4D5,1028.8
41,5,S4D6,1060.8
42,5,S4D7,1054.4
43,5,S4D8,1035.2
44,5,S4D9,1051.2
45,5,S4D10,1083.2
46,5,S4D11,1044.8
47,2,S1D1,1048
48,2,S1D2,1057.6
49,2,S1D3,1080
50,2,S1D4,1118.4
51,2,S1D5,1118.4
52,2,S1D6,1086.4
53,2,S1D7,1073.6
54,2,S1D8,1099.2
55,2,S1D9,1054.4
56,2,S1D10,1051.2
57,2,S1D11,1064
58,2,S2D1,1060.8
59,2,S2D2,1086.4
60,2,S2D3,1121.6
61,2,S2D4,1112
62,2,S2D5,1096
63,2,S2D6,1121.6
64,2,S2D7,1160
65,2,S2D8,1201.6
66,2,S2D9,1230.4
67,2,S2D10,1192
68,2,S2D11,1160
69,2,S2D12,1150.4
70,2,S3D1,1150.4
71,2,S3D2,1156.8
72,2,S3D3,1188.8
73,2,S3D4,1224
74,2,S3D5,1224
75,2,S3D6,1224
76,2,S3D7,1192
77,2,S3D8,1227.2
78,2,S3D9,1198.4
79,2,S3D10,1201.6
80,2,S3D11,1198.4
81,2,S3D12,1166.4
82,2,S4D1,1204.8
83,2,S4D2,1208
84,2,S4D3,1240
85,2,S4D4,1236.8
86,2,S4D5,1201.6
87,2,S4D6,1236.8
88,2,S4D7,1233.6
89,2,S4D8,1233.6
90,2,S4D9,1169.6
91,2,S4D10,1211.2
92,2,S4D11,1249.6
93,13,S1D1,1000
94,13,S1D2,1000
95,13,S1D3,1000
96,13,S1D4,1000
97,13,S1D5,1000
98,13,S1D6,1000
99,13,S1D7,1000
100,13,S1D8,1000
101,13,S1D9,1000
102,13,S1D10,1000
103,13,S1D11,1000
104,13,S2D1,1000
105,13,S2D2,1000
106,13,S2D3,1000
107,13,S2D4,1000
108,13,S2D5,1000
109,13,S2D6,1000
110,13,S2D7,1000
111,13,S2D8,1000
112,13,S2D9,1000
113,13,S2D10,1000
114,13,S2D11,1000
115,13,S2D12,1000
116,13,S3D1,1000
117,13,S3D2,1000
118,13,S3D3,1000
119,13,S3D4,1000
120,13,S3D5,1000
121,13,S3D6,1000
122,13,S3D7,1000
123,13,S3D8,1000
124,13,S3D9,1000
125,13,S3D10,1000
126,13,S3D11,1000
127,13,S3D12,1000
128,13,S4D1,1000
129,13,S4D2,974.4
130,13,S4D3,974.4
131,13,S4D4,974.4
132,13,S4D5,974.4
133,13,S4D6,974.4
134,13,S4D7,974.4
135,13,S4D8,974.4
136,13,S4D9,974.4
137,13,S4D10,974.4
138,13,S4D11,974.4
139,17,S1D1,1000
140,17,S1D2,1000
141,17,S1D3,1000
142,17,S1D4,1000
143,17,S1D5,1000
144,17,S1D6,1000
145,17,S1D7,1000
146,17,S1D8,1000
147,17,S1D9,1000
148,17,S1D10,1000
149,17,S1D11,1000
150,17,S2D1,1000
151,17,S2D2,1000
152,17,S2D3,1000
153,17,S2D4,1000
154,17,S2D5,1000
155,17,S2D6,1000
156,17,S2D7,1000
157,17,S2D8,1006.4
158,17,S2D9,971.2
159,17,S2D10,932.8
160,17,S2D11,945.6
161,17,S2D12,894.4
162,17,S3D1,894.4
163,17,S3D2,913.6
164,17,S3D3,913.6
165,17,S3D4,913.6
166,17,S3D5,913.6
167,17,S3D6,913.6
168,17,S3D7,904
169,17,S3D8,904
170,17,S3D9,904
171,17,S3D10,904
172,17,S3D11,904
173,17,S3D12,904
174,17,S4D1,904
175,17,S4D2,904
176,17,S4D3,904
177,17,S4D4,904
178,17,S4D5,904
179,17,S4D6,904
180,17,S4D7,904
181,17,S4D8,904
182,17,S4D9,904
183,17,S4D10,904
184,17,S4D11,904
185,1,S1D1,1016
186,1,S1D2,1016
187,1,S1D3,1060.8
188,1,S1D4,1060.8
189,1,S1D5,1060.8
190,1,S1D6,1060.8
191,1,S1D7,1060.8
192,1,S1D8,1060.8
193,1,S1D9,1060.8
194,1,S1D10,1060.8
195,1,S1D11,1060.8
196,1,S2D1,1060.8
197,1,S2D2,1060.8
198,1,S2D3,1060.8
199,1,S2D4,1060.8
200,1,S2D5,1060.8
201,1,S2D6,1060.8
202,1,S2D7,1060.8
203,1,S2D8,1060.8
204,1,S2D9,1060.8
205,1,S2D10,1060.8
206,1,S2D11,1060.8
207,1,S2D12,1060.8
208,1,S3D1,1060.8
209,1,S3D2,1060.8
210,1,S3D3,1060.8
211,1,S3D4,1060.8
212,1,S3D5,1060.8
213,1,S3D6,1060.8
214,1,S3D7,1060.8
215,1,S3D8,1060.8
216,1,S3D9,1060.8
217,1,S3D10,1060.8
218,1,S3D11,1060.8
219,1,S3D12,1060.8
220,1,S4D1,1019.2
221,1,S4D2,1054.4
222,1,S4D3,1048
223,1,S4D4,1048
224,1,S4D5,1048
225,1,S4D6,1076.8
226,1,S4D7,1076.8
227,1,S4D8,1086.4
228,1,S4D9,1108.8
229,1,S4D10,1108.8
230,1,S4D11,1108.8
231,19,S1D1,1000
232,19,S1D2,1000
233,19,S1D3,968
234,19,S1D4,990.4
235,19,S1D5,990.4
236,19,S1D6,990.4
237,19,S1D7,990.4
238,19,S1D8,990.4
239,19,S1D9,990.4
240,19,S1D10,990.4
241,19,S1D11,990.4
242,19,S2D1,990.4
243,19,S2D2,990.4
244,19,S2D3,990.4
245,19,S2D4,990.4
246,19,S2D5,990.4
247,19,S2D6,990.4
248,19,S2D7,990.4
249,19,S2D8,990.4
250,19,S2D9,990.4
251,19,S2D10,1012.8
252,19,S2D11,1012.8
253,19,S2D12,1012.8
254,19,S3D1,1012.8
255,19,S3D2,1012.8
256,19,S3D3,1012.8
257,19,S3D4,1012.8
258,19,S3D5,1012.8
259,19,S3D6,1012.8
260,19,S3D7,1012.8
261,19,S3D8,1016
262,19,S3D9,1016
263,19,S3D10,1016
264,19,S3D11,1016
265,19,S3D12,984
266,19,S4D1,984
267,19,S4D2,984
268,19,S4D3,1022.4
269,19,S4D4,1022.4
270,19,S4D5,1086.4
271,19,S4D6,1060.8
272,19,S4D7,1070.4
273,19,S4D8,1080
274,19,S4D9,1080
275,19,S4D10,1073.6
276,19,S4D11,1073.6
277,11,S1D1,1000
278,11,S1D2,984
279,11,S1D3,1003.2
280,11,S1D4,987.2
281,11,S1D5,942.4
282,11,S1D6,952
283,11,S1D7,964.8
284,11,S1D8,964.8
285,11,S1D9,945.6
286,11,S1D10,945.6
287,11,S1D11,945.6
288,11,S2D1,945.6
289,11,S2D2,945.6
290,11,S2D3,945.6
291,11,S2D4,945.6
292,11,S2D5,945.6
293,11,S2D6,942.4
294,11,S2D7,942.4
295,11,S2D8,942.4
296,11,S2D9,942.4
297,11,S2D10,942.4
298,11,S2D11,971.2
299,11,S2D12,971.2
300,11,S3D1,980.8
301,11,S3D2,984
302,11,S3D3,974.4
303,11,S3D4,968
304,11,S3D5,968
305,11,S3D6,961.6
306,11,S3D7,961.6
307,11,S3D8,990.4
308,11,S3D9,1000
309,11,S3D10,1035.2
310,11,S3D11,1083.2
311,11,S3D12,1083.2
312,11,S4D1,1022.4
313,11,S4D2,961.6
314,11,S4D3,923.2
315,11,S4D4,875.2
316,11,S4D5,900.8
317,11,S4D6,900.8
318,11,S4D7,891.2
319,11,S4D8,891.2
320,11,S4D9,916.8
321,11,S4D10,916.8
322,11,S4D11,916.8
323,12,S1D1,1000
324,12,S1D2,1000
325,12,S1D3,1000
326,12,S1D4,1000
327,12,S1D5,1000
328,12,S1D6,1000
329,12,S1D7,1000
330,12,S1D8,1000
331,12,S1D9,1000
332,12,S1D10,1000
333,12,S1D11,1000
334,12,S2D1,1000
335,12,S2D2,1000
336,12,S2D3,1000
337,12,S2D4,1000
338,12,S2D5,1000
339,12,S2D6,1000
340,12,S2D7,1000
341,12,S2D8,1000
342,12,S2D9,1000
343,12,S2D10,1000
344,12,S2D11,1000
345,12,S2D12,1000
346,12,S3D1,1000
347,12,S3D2,1000
348,12,S3D3,1000
349,12,S3D4,1000
350,12,S3D5,1000
351,12,S3D6,1000
352,12,S3D7,1000
353,12,S3D8,1000
354,12,S3D9,1000
355,12,S3D10,1000
356,12,S3D11,1000
357,12,S3D12,1000
358,12,S4D1,1035.2
359,12,S4D2,1035.2
360,12,S4D3,1035.2
361,12,S4D4,1035.2
362,12,S4D5,1035.2
363,12,S4D6,1035.2
364,12,S4D7,1035.2
365,12,S4D8,1035.2
366,12,S4D9,1035.2
367,12,S4D10,1035.2
368,12,S4D11,1035.2
369,24,S1D1,1000
370,24,S1D2,1000
371,24,S1D3,984
372,24,S1D4,939.2
373,24,S1D5,932.8
374,24,S1D6,958.4
375,24,S1D7,958.4
376,24,S1D8,958.4
377,24,S1D9,958.4
378,24,S1D10,958.4
379,24,S1D11,958.4
380,24,S2D1,958.4
381,24,S2D2,958.4
382,24,S2D3,958.4
383,24,S2D4,958.4
384,24,S2D5,971.2
385,24,S2D6,945.6
386,24,S2D7,945.6
387,24,S2D8,945.6
388,24,S2D9,945.6
389,24,S2D10,945.6
390,24,S2D11,945.6
391,24,S2D12,945.6
392,24,S3D1,945.6
393,24,S3D2,945.6
394,24,S3D3,945.6
395,24,S3D4,945.6
396,24,S3D5,945.6
397,24,S3D6,945.6
398,24,S3D7,945.6
399,24,S3D8,961.6
400,24,S3D9,961.6
401,24,S3D10,961.6
402,24,S3D11,961.6
403,24,S3D12,961.6
404,24,S4D1,961.6
405,24,S4D2,961.6
406,24,S4D3,961.6
407,24,S4D4,961.6
408,24,S4D5,961.6
409,24,S4D6,961.6
410,24,S4D7,961.6
411,24,S4D8,961.6
412,24,S4D9,961.6
413,24,S4D10,961.6
414,24,S4D11,961.6
415,25,S1D1,1000
416,25,S1D2,1000
417,25,S1D3,1000
418,25,S1D4,1000
419,25,S1D5,1000
420,25,S1D6,1000
421,25,S1D7,1000
422,25,S1D8,1000
423,25,S1D9,1000
424,25,S1D10,1000
425,25,S1D11,1000
426,25,S2D1,1000
427,25,S2D2,1000
428,25,S2D3,1000
429,25,S2D4,1000
430,25,S2D5,974.4
431,25,S2D6,974.4
432,25,S2D7,968
433,25,S2D8,968
434,25,S2D9,974.4
435,25,S2D10,974.4
436,25,S2D11,974.4
437,25,S2D12,974.4
438,25,S3D1,974.4
439,25,S3D2,974.4
440,25,S3D3,974.4
441,25,S3D4,974.4
442,25,S3D5,974.4
443,25,S3D6,974.4
444,25,S3D7,974.4
445,25,S3D8,974.4
446,25,S3D9,974.4
447,25,S3D10,974.4
448,25,S3D11,974.4
449,25,S3D12,974.4
450,25,S4D1,974.4
451,25,S4D2,974.4
452,25,S4D3,974.4
453,25,S4D4,974.4
454,25,S4D5,974.4
455,25,S4D6,974.4
456,25,S4D7,974.4
457,25,S4D8,974.4
458,25,S4D9,974.4
459,25,S4D10,974.4
460,25,S4D11,974.4
461,22,S1D1,1000
462,22,S1D2,1000
463,22,S1D3,1000
464,22,S1D4,1000
465,22,S1D5,1000
466,22,S1D6,1000
467,22,S1D7,1000
468,22,S1D8,1000
469,22,S1D9,1000
470,22,S1D10,1000
471,22,S1D11,1000
472,22,S2D1,1000
473,22,S2D2,1000
474,22,S2D3,1000
475,22,S2D4,1000
476,22,S2D5,1000
477,22,S2D6,1000
478,22,S2D7,1000
479,22,S2D8,1000
480,22,S2D9,1000
481,22,S2D10,1000
482,22,S2D11,1000
483,22,S2D12,1000
484,22,S3D1,1000
485,22,S3D2,1000
486,22,S3D3,1000
487,22,S3D4,1000
488,22,S3D5,1000
489,22,S3D6,1000
490,22,S3D7,1000
491,22,S3D8,1000
492,22,S3D9,1000
493,22,S3D10,1000
494,22,S3D11,1000
495,22,S3D12,1000
496,22,S4D1,1000
497,22,S4D2,1000
498,22,S4D3,1000
499,22,S4D4,1035.2
500,22,S4D5,1035.2
501,22,S4D6,1035.2
502,22,S4D7,1035.2
503,22,S4D8,1035.2
504,22,S4D9,1035.2
505,22,S4D10,1035.2
506,22,S4D11,1035.2
507,26,S1D1,1000
508,26,S1D2,1000
509,26,S1D3,1000
510,26,S1D4,1000
511,26,S1D5,1000
512,26,S1D6,1016
513,26,S1D7,1048
514,26,S1D8,1044.8
515,26,S1D9,1025.6
516,26,S1D10,1057.6
517,26,S1D11,1057.6
518,26,S2D1,1057.6
519,26,S2D2,1115.2
520,26,S2D3,1115.2
521,26,S2D4,1076.8
522,26,S2D5,1076.8
523,26,S2D6,1076.8
524,26,S2D7,1076.8
525,26,S2D8,1076.8
526,26,S2D9,1076.8
527,26,S2D10,1076.8
528,26,S2D11,1076.8
529,26,S2D12,1076.8
530,26,S3D1,1076.8
531,26,S3D2,1076.8
532,26,S3D3,1076.8
533,26,S3D4,1076.8
534,26,S3D5,1076.8
535,26,S3D6,1076.8
536,26,S3D7,1076.8
537,26,S3D8,1076.8
538,26,S3D9,1076.8
539,26,S3D10,1076.8
540,26,S3D11,1076.8
541,26,S3D12,1076.8
542,26,S4D1,1076.8
543,26,S4D2,1076.8
544,26,S4D3,1076.8
545,26,S4D4,1076.8
546,26,S4D5,1076.8
547,26,S4D6,1076.8
548,26,S4D7,1076.8
549,26,S4D8,1076.8
550,26,S4D9,1076.8
551,26,S4D10,1076.8
552,26,S4D11,1076.8
553,3,S1D1,1016
554,3,S1D2,1000
555,3,S1D3,968
556,3,S1D4,958.4
557,3,S1D5,980.8
558,3,S1D6,980.8
559,3,S1D7,980.8
560,3,S1D8,980.8
561,3,S1D9,980.8
562,3,S1D10,990.4
563,3,S1D11,980.8
564,3,S2D1,980.8
565,3,S2D2,958.4
566,3,S2D3,968
567,3,S2D4,1003.2
568,3,S2D5,1009.6
569,3,S2D6,958.4
570,3,S2D7,955.2
571,3,S2D8,955.2
572,3,S2D9,929.6
573,3,S2D10,929.6
574,3,S2D11,958.4
575,3,S2D12,1000
576,3,S3D1,974.4
577,3,S3D2,1012.8
578,3,S3D3,1032
579,3,S3D4,1028.8
580,3,S3D5,996.8
581,3,S3D6,1032
582,3,S3D7,1035.2
583,3,S3D8,1019.2
584,3,S3D9,1025.6
585,3,S3D10,993.6
586,3,S3D11,993.6
587,3,S3D12,1028.8
588,3,S4D1,1057.6
589,3,S4D2,1054.4
590,3,S4D3,1054.4
591,3,S4D4,1048
592,3,S4D5,1025.6
593,3,S4D6,1025.6
594,3,S4D7,1041.6
595,3,S4D8,993.6
596,3,S4D9,968
597,3,S4D10,980.8
598,3,S4D11,993.6
599,27,S1D1,1000
600,27,S1D2,1000
601,27,S1D3,1000
602,27,S1D4,1000
603,27,S1D5,1000
604,27,S1D6,1000
605,27,S1D7,1000
606,27,S1D8,1000
607,27,S1D9,1000
608,27,S1D10,1000
609,27,S1D11,1000
610,27,S2D1,1000
611,27,S2D2,1000
612,27,S2D3,1000
613,27,S2D4,1000
614,27,S2D5,1000
615,27,S2D6,1000
616,27,S2D7,1000
617,27,S2D8,974.4
618,27,S2D9,974.4
619,27,S2D10,974.4
620,27,S2D11,974.4
621,27,S2D12,964.8
622,27,S3D1,964.8
623,27,S3D2,923.2
624,27,S3D3,923.2
625,27,S3D4,923.2
626,27,S3D5,923.2
627,27,S3D6,923.2
628,27,S3D7,923.2
629,27,S3D8,923.2
630,27,S3D9,923.2
631,27,S3D10,923.2
632,27,S3D11,923.2
633,27,S3D12,923.2
634,27,S4D1,923.2
635,27,S4D2,923.2
636,27,S4D3,923.2
637,27,S4D4,923.2
638,27,S4D5,923.2
639,27,S4D6,923.2
640,27,S4D7,923.2
641,27,S4D8,923.2
642,27,S4D9,923.2
643,27,S4D10,923.2
644,27,S4D11,923.2
645,8,S1D1,1000
646,8,S1D2,1000
647,8,S1D3,1000
648,8,S1D4,1000
649,8,S1D5,1000
650,8,S1D6,1000
651,8,S1D7,1000
652,8,S1D8,1000
653,8,S1D9,1000
654,8,S1D10,1000
655,8,S1D11,1000
656,8,S2D1,1000
657,8,S2D2,1000
658,8,S2D3,1000
659,8,S2D4,1000
660,8,S2D5,1000
661,8,S2D6,1000
662,8,S2D7,1000
663,8,S2D8,1000
664,8,S2D9,1000
665,8,S2D10,1000
666,8,S2D11,968
667,8,S2D12,968
668,8,S3D1,993.6
669,8,S3D2,993.6
670,8,S3D3,1016
671,8,S3D4,1016
672,8,S3D5,987.2
673,8,S3D6,1009.6
674,8,S3D7,952
675,8,S3D8,952
676,8,S3D9,939.2
677,8,S3D10,939.2
678,8,S3D11,939.2
679,8,S3D12,920
680,8,S4D1,920
681,8,S4D2,990.4
682,8,S4D3,964.8
683,8,S4D4,942.4
684,8,S4D5,923.2
685,8,S4D6,942.4
686,8,S4D7,894.4
687,8,S4D8,920
688,8,S4D9,923.2
689,8,S4D10,945.6
690,8,S4D11,945.6
691,23,S1D1,1000
692,23,S1D2,1000
693,23,S1D3,1000
694,23,S1D4,1000
695,23,S1D5,1000
696,23,S1D6,1000
697,23,S1D7,1000
698,23,S1D8,1000
699,23,S1D9,1000
700,23,S1D10,1000
701,23,S1D11,1000
702,23,S2D1,1000
703,23,S2D2,1000
704,23,S2D3,1000
705,23,S2D4,1000
706,23,S2D5,1000
707,23,S2D6,1000
708,23,S2D7,1000
709,23,S2D8,1000
710,23,S2D9,1000
711,23,S2D10,1000
712,23,S2D11,1000
713,23,S2D12,1000
714,23,S3D1,1000
715,23,S3D2,1000
716,23,S3D3,1000
717,23,S3D4,1000
718,23,S3D5,1000
719,23,S3D6,1000
720,23,S3D7,1000
721,23,S3D8,1000
722,23,S3D9,1000
723,23,S3D10,1000
724,23,S3D11,1000
725,23,S3D12,1000
726,23,S4D1,1000
727,23,S4D2,1000
728,23,S4D3,1000
729,23,S4D4,987.2
730,23,S4D5,987.2
731,23,S4D6,929.6
732,23,S4D7,977.6
733,23,S4D8,977.6
734,23,S4D9,1019.2
735,23,S4D10,1022.4
736,23,S4D11,1022.4
737,28,S1D1,1000
738,28,S1D2,1000
739,28,S1D3,1000
740,28,S1D4,1000
741,28,S1D5,1000
742,28,S1D6,1000
743,28,S1D7,971.2
744,28,S1D8,952
745,28,S1D9,984
746,28,S1D10,993.6
747,28,S1D11,993.6
748,28,S2D1,1003.2
749,28,S2D2,1003.2
750,28,S2D3,1035.2
751,28,S2D4,1089.6
